tweet_link,tweet,slug,tag,phrase,start,end
http://twitter.com/realDonaldTrump/status/641783686363508736,"I am on @seanhannity tonight at 10:00 on @FoxNews. Will be talking about my day in D.C., the horrendous nuke deal with Iran and more. Enjoy!",iran-deal,entity,Iran,119.0,123.0
http://twitter.com/realDonaldTrump/status/641783686363508736,"I am on @seanhannity tonight at 10:00 on @FoxNews. Will be talking about my day in D.C., the horrendous nuke deal with Iran and more. Enjoy!",iran-deal,insult,horrendous,93.0,103.0
http://twitter.com/realDonaldTrump/status/667347920560238592,"Broken down political pundit @GeorgeWill, who is wrong almost all of the time, should be thrown off @FoxNews. Boring and totally biased.",george-will,accusation,broken down,-1.0,10.0
http://twitter.com/realDonaldTrump/status/667347920560238592,"Broken down political pundit @GeorgeWill, who is wrong almost all of the time, should be thrown off @FoxNews. Boring and totally biased.",george-will,accusation,boring and totally biased,-1.0,24.0
http://twitter.com/realDonaldTrump/status/667347920560238592,"Broken down political pundit @GeorgeWill, who is wrong almost all of the time, should be thrown off @FoxNews. Boring and totally biased.",george-will,accusation,should be thrown off Fox News,-1.0,28.0
http://twitter.com/realDonaldTrump/status/667347920560238592,"Broken down political pundit @GeorgeWill, who is wrong almost all of the time, should be thrown off @FoxNews. Boring and totally biased.",george-will,entity,George,30.0,36.0
http://twitter.com/realDonaldTrump/status/667347920560238592,"Broken down political pundit @GeorgeWill, who is wrong almost all of the time, should be thrown off @FoxNews. Boring and totally biased.",george-will,insult,wrong almost all of the time,49.0,77.0
http://twitter.com/realDonaldTrump/status/669501105630498816,.@Karl Rove just totally bombed on @Morning_Joe. He has ZERO credibility. @FoxNews,karl-rove,entity,Karl Rove,2.0,11.0
http://twitter.com/realDonaldTrump/status/669501105630498816,.@Karl Rove just totally bombed on @Morning_Joe. He has ZERO credibility. @FoxNews,karl-rove,insult,has ZERO credibility,52.0,72.0
http://twitter.com/realDonaldTrump/status/678986289350316033,It's the Democrat's total weakness that is the greatest recruiting tool of ISIS!!!,democrats,accusation,it's the Democrat's total weakness that is the greatest recruiting tool of ISIS!!!,-1.0,81.0
http://twitter.com/realDonaldTrump/status/679499061251158016,"When I said that Hillary got schlonged by Obama, that means she got beaten badly. A commonly used word in politics. Dishonest reporters!",the-media,insult,dishonest reporters!,-1.0,19.0
http://twitter.com/realDonaldTrump/status/689263744443138049,Ted Cruz is falling in the polls. He is nervous. People are worried about his place of birth and his failure to report his loans from banks!,ted-cruz,accusation,falling in the polls,12.0,32.0
http://twitter.com/realDonaldTrump/status/689263744443138049,Ted Cruz is falling in the polls. He is nervous. People are worried about his place of birth and his failure to report his loans from banks!,ted-cruz,entity,Ted Cruz,0.0,8.0
http://twitter.com/realDonaldTrump/status/689429603614502913,"Wow, new polls just out have Trump up and Cruz down - he is a nervous wreck!",ted-cruz,entity,Cruz,42.0,46.0
http://twitter.com/realDonaldTrump/status/689429603614502913,"Wow, new polls just out have Trump up and Cruz down - he is a nervous wreck!",ted-cruz,insult,a nervous wreck,60.0,75.0
